spec_int2000_id,processor_id,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,164_gzip,175_vpr,176_gcc,181_mcf,186_crafty,197_parser,252_eon,253_perlbmk,254_gap,255_vortex,256_bzip2,300_twolf,link
719,780,2002-09-01,Sun Microsystems,Sun Fire 280R,,false,511.0,574.0,398.0,439.0,553.0,565.0,548.0,458.0,557.0,518.0,368.0,704.0,585.0,532.0,http://www.spec.org/cpu2000/results/res2002q4/cpu2000-20021121-01871.html
720,783,2003-04-01,Sun Microsystems,Sun Fire 280R,,false,637.0,712.0,474.0,544.0,674.0,684.0,660.0,565.0,762.0,636.0,462.0,992.0,691.0,652.0,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030331-02002.html
721,779,2001-12-01,Sun Microsystems,Sun Fire 280R,,false,470.0,529.0,374.0,405.0,503.0,604.0,483.0,424.0,453.0,473.0,329.0,647.0,546.0,493.0,http://www.spec.org/cpu2000/results/res2001q4/cpu2000-20011119-01138.html
722,778,2001-01-01,Sun Microsystems,Sun Fire 280R,,false,365.0,391.0,265.0,322.0,414.0,416.0,359.0,342.0,388.0,382.0,260.0,487.0,416.0,395.0,http://www.spec.org/cpu2000/results/res2001q1/cpu2000-20001222-00431.html
723,778,2001-03-01,Sun Microsystems,Sun Fire 280R,,false,375.0,394.0,297.0,321.0,407.0,440.0,406.0,352.0,377.0,375.0,259.0,490.0,441.0,397.0,http://www.spec.org/cpu2000/results/res2001q3/cpu2000-20010629-00728.html
724,778,2001-03-01,Sun Microsystems,Sun Fire 280R,,false,366.0,390.0,288.0,322.0,408.0,416.0,364.0,341.0,380.0,378.0,260.0,487.0,415.0,395.0,http://www.spec.org/cpu2000/results/res2001q3/cpu2000-20010718-00773.html
725,783,2003-12-01,Sun Microsystems,Sun Fire V1280,,false,608.0,676.0,458.0,513.0,651.0,602.0,643.0,543.0,757.0,622.0,432.0,936.0,656.0,634.0,http://www.spec.org/cpu2000/results/res2004q1/cpu2000-20040116-02713.html
726,779,2003-02-01,Sun Microsystems,Sun Fire V1280,,false,479.0,535.0,359.0,413.0,511.0,493.0,497.0,429.0,576.0,480.0,348.0,747.0,523.0,491.0,http://www.spec.org/cpu2000/results/res2003q1/cpu2000-20030224-01956.html
727,78,2004-07-01,Sun Microsystems,Sun Fire V20z,,false,1382.0,1521.0,1449.0,1126.0,1634.0,654.0,2080.0,1160.0,1725.0,1476.0,1448.0,1928.0,1300.0,1245.0,http://www.spec.org/cpu2000/results/res2004q3/cpu2000-20040628-03194.html
728,79,2005-04-01,Sun Microsystems,Sun Fire V20z,,false,1569.0,1746.0,1548.0,1237.0,1787.0,726.0,2205.0,1185.0,2429.0,1716.0,1640.0,2520.0,1426.0,1398.0,http://www.spec.org/cpu2000/results/res2005q1/cpu2000-20050211-03839.html
