spec_fp1992_id,processor_id,hw_avail,test_sponsor,hw_model,basemean,peakmean,013_spice2g6,015_doduc,034_mdljdp2,039_wave5,047_tomcatv,048_ora,052_alvinn,056_ear,077_mdljsp2,078_swm256,089_su2cor,090_hydro2d,093_nasa7,094_fpppp,link
33,167,,Digital,Digital EB164,461.8,518.0,237.4,404.3,412.2,319.0,456.9,407.7,826.9,1262.4,241.0,244.2,724.7,556.9,526.6,652.5,http://performance.netlib.org/performance/html/spec.deb164f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital EB164 333 MHz 21164}
34,167,,Digital,AlphaStation 600 5/333,479.2,542.3,235.5,395.7,409.8,324.6,646.3,409.9,784.7,1243.9,241.0,389.6,697.3,517.0,485.5,638.9,http://performance.netlib.org/performance/html/spec.F00421.cfp92.4_96.notes.html#{Digital Equipment Corporation AlphaStation 600 5/333 333MHz 21164}
35,168,,Digital,AlphaServer 8000 5/350,518.5,602.2,252.6,432.6,429.7,342.6,716.2,426.4,854.4,1314.4,251.9,421.9,781.8,583.0,561.9,676.5,http://performance.netlib.org/performance/html/spec.d8350f.cfp92.12_95.notes.html#{Digital Equipment Corporation AlphaServer 8000 5/350 350MHz 21164}
36,168,,Digital,AlphaServer 8200 5/350,518.5,602.2,252.6,432.6,429.7,342.6,716.2,426.4,854.4,1314.4,251.9,421.9,781.8,583.0,561.9,676.5,http://performance.netlib.org/performance/html/spec.F00416.cfp92.4_96.notes.html#{Digital Equipment Corporation AlphaServer 8200 5/350 350MHz 21164}
37,168,,Digital,AlphaServer 8400 5/350,518.5,602.2,252.6,432.6,429.7,342.6,716.2,426.4,854.4,1314.4,251.9,421.9,781.8,583.0,561.9,676.5,http://performance.netlib.org/performance/html/spec.F00297.cfp92.4_96.notes.html#{Digital Equipment Corporation AlphaServer 8400 5/350 350MHz 21164}
38,161,,Digital,Digital EB66+,119.0,123.4,66.8,120.8,157.2,75.7,67.1,187.8,258.9,351.7,95.7,37.8,134.4,184.4,110.6,104.2,http://performance.netlib.org/performance/html/spec.decb66f.cfp92.9_95.notes.html#{Digital Equipment Corporation Digital EB66+ 233MHz LCA45}
39,232,,HAL Computer Systems,330,223.7,242.8,120.6,187.9,233.2,137.5,368.1,173.4,474.7,382.9,107.4,186.5,346.8,300.4,139.3,321.7,http://performance.netlib.org/performance/html/spec.hal330.cfp92.12_95.notes.html#{HAL Computer Systems Fujitsu HALstation 300 100MHz SPARC64}
40,233,,HAL Computer Systems,350,261.1,282.8,141.1,213.8,270.6,160.9,441.7,200.5,545.4,443.5,124.5,219.3,395.7,349.5,168.0,383.3,http://performance.netlib.org/performance/html/spec.hal350_1.cfp92.12_95.notes.html#{HAL Computer Systems Fujitsu HALstation 300 118MHz SPARC64}
41,237,,HP,720,77.7,77.9,55.0,68.1,86.8,55.0,75.1,129.0,184.9,137.7,39.5,42.9,93.4,76.2,55.1,100.0,http://performance.netlib.org/performance/html/spec.F00122.cfp92.4_96.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 720 50 MHz PA-RISC 7000}
42,238,,Hitachi,540,134.8,151.8,81.7,110.1,200.8,87.7,145.6,252.4,158.6,177.1,94.6,78.2,163.5,161.2,89.5,228.9,http://performance.netlib.org/performance/html/spec.h35-540.cfp92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/540 100MHz PA-RISC 7100}
43,238,,Hitachi,550,160.5,181.2,112.4,110.7,202.0,93.2,166.7,253.2,189.4,177.7,94.9,84.3,269.3,230.3,198.3,229.4,http://performance.netlib.org/performance/html/spec.hit3035b.cfp92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/550 100MHz PA-RISC 7100}
44,239,,HP,735/125,187.1,204.8,104.5,178.8,249.6,168.2,147.2,331.3,442.0,365.3,118.8,87.5,205.7,189.0,85.7,301.6,http://performance.netlib.org/performance/html/spec.7351f.cfp92.12_95.notes.html#{Hewlett-Packard HP 9000 Series 700 Model 735/125 125 MHz PA-RISC 7100}
45,240,,Hitachi,510,62.2,68.6,34.8,45.7,91.6,40.8,81.8,126.0,67.1,85.5,45.2,43.4,69.2,54.3,44.6,111.9,http://performance.netlib.org/performance/html/spec.h35-510.cfp92.6_94.notes.html#{Hitachi; Ltd. Hitatchi 3500/510 50MHz PA-RISC 7100}
